06/12/2024, Sonnega FC, Manderveen FC, 1-2, Wright
24/12/2024, Sonnega FC, FC Warfhuizen, 2-2, van den Brink
30/12/2024, Sonnega FC, Handel FC, 1-2, Bekbergen
21/12/2024, Sonnega FC, Matsloot FC, 1-0, Bekbergen
03/12/2024, Sonnega FC, Lokomotiv Moscow, 0-1, van Ginkel
30/12/2024, Manderveen FC, FC Winterswijk Miste, 0-3, van Ginkel
12/12/2024, Manderveen FC, Broeksterwâld FC, 5-5, van den Brink
23/12/2024, Manderveen FC, Ajax, 3-5, van Ginkel
09/12/2024, Manderveen FC, Matsloot FC, 5-3, Wright
30/12/2024, Manderveen FC, Lokomotiv Moscow, 1-1, van Tuijl
23/12/2024, Dalerpeel FC, Manderveen FC, 3-4, Jdotte
18/12/2024, Dalerpeel FC, Oldenzijl FC, 5-4, Hoppenbrouwer
04/12/2024, Dalerpeel FC, Real Kuinre, 3-3, van Ginkel
10/12/2024, Meerstad United, Sonnega FC, 1-2, Hoppenbrouwer
10/12/2024, Meerstad United, FC Warfhuizen, 1-2, Chrodtrud
08/12/2024, Meerstad United, Lokomotiv Moscow, 0-1, Jdotte
20/12/2024, FC Winterswijk Miste, Meerstad United, 5-4, Hoppenbrouwer
25/12/2024, FC Winterswijk Miste, Broeksterwâld FC, 0-0, van de Elzas
03/12/2024, FC Winterswijk Miste, Ajax, 1-4, Chrodtrud
09/12/2024, FC Winterswijk Miste, Feyenoord, 3-1, Chrodtrud
06/12/2024, Klarenbeek FC, Sonnega FC, 4-5, Jdotte
19/12/2024, Klarenbeek FC, Manderveen FC, 0-4, van den Brink
13/12/2024, Klarenbeek FC, Meerstad United, 3-4, Jdotte
09/12/2024, Klarenbeek FC, Oldenzijl FC, 1-3, Jdotte
22/12/2024, Klarenbeek FC, Handel FC, 2-3, Hoppenbrouwer
28/12/2024, Klarenbeek FC, Leek FC, 2-5, van den Brink
16/12/2024, Klarenbeek FC, Landhorst FC, 3-3, van den Brink
22/12/2024, Broeksterwâld FC, Meerstad United, 3-1, Wright
25/12/2024, Broeksterwâld FC, FC Warfhuizen, 4-2, Simons
01/12/2024, Broeksterwâld FC, Handel FC, 3-3, Hoppenbrouwer
30/12/2024, Broeksterwâld FC, Vaassen FC, 3-3, Wright
15/12/2024, Liverpool, Sonnega FC, 0-2, van Ginkel
06/12/2024, Liverpool, Manderveen FC, 0-5, Simons
28/12/2024, Liverpool, Real Kuinre, 3-1, van Tuijl
19/12/2024, Liverpool, Feyenoord, 4-0, Bekbergen
19/12/2024, Liverpool, FC Strijensas, 1-3, Jdotte
04/12/2024, Liverpool, Lokomotiv Moscow, 1-3, Wright
08/12/2024, Oldenzijl FC, Manderveen FC, 0-1, van de Elzas
04/12/2024, Oldenzijl FC, Klarenbeek FC, 0-4, van Ginkel
28/12/2024, Oldenzijl FC, Real Kuinre, 0-3, Simons
28/12/2024, Oldenzijl FC, Matsloot FC, 5-1, Jdotte
23/12/2024, Ajax, Sonnega FC, 1-0, Hoppenbrouwer
